1386924212	1350001	1.315	1.493		1.515		        Carrefour Market	        Carrefour Market	Avenue Jean Falconnier 01350 CULOZ
1386924487	1350003	1.298	1.491		1.527		        Netto	        NETTO BEON	PARC D#039;ACTIVIT DES FOURS 01350 BÉON
1386924158	1360002	1.459	1.579				        Elan	        Station service ELAN	Route de Lyon 01360 BALAN
1386924464	1370001	1.384	1.554		1.599	0.940	        Indépendant sans enseigne	        SARL CIRA DISTRIBUTION	Route de Strasbourg 01370 SAINT-ÉTIENNE-DU-BOIS
1386924162	1390001	1.296	1.505		1.562		        Carrefour Market	        Carrefour Market	Allées des Marronniers 01390 SAINT-ANDRÉ-DE-CORCY
1386924251	1390002	1.370		1.540	1.620		        Total	        RELAIS SAINT ANDRE DE CORCY	Z.I. DE CURE 01390 SAINT-ANDRÉ-DE-CORCY
1386924493	1390004	1.469		1.599	1.669	0.940	        Agip	        AGIP AIRE DE MIONNAY OUEST GALMIER A46 SENS PARIS-MARSEILLE	AIRE DE MIONNAY OUEST GALMIER A46 01390 MIONNAY
1386924432	1390006	1.469		1.589	1.659	0.940	        Agip	        AIRE DE MIONNAY EST	Autoroute A46 Sens Sud Nord 01390 MIONNAY
1386924500	1400001	1.293	1.478		1.518		        Carrefour Market	        Carrefour Market	AVENUE MARECHAL FOCH 01400 CHATILLON-SUR-CHALARONNE
1386924242	1400003	1.450	1.640				        Elan	        GARAGE CENTRAL TASPINAR	AVENUE PIERRE MARCAULT 01400 CHATILLON SUR CHALARONNE
1386924382	1400005	1.293	1.478		1.518		        Intermarché	        INTERMARCHE CHATILLON /CHALARONN	Avenue Jean Jaurès 01400 CHATILLON SUR CHALARONNE
1386924145	1430001	1.474		1.604	1.684	0.960	        Total	        RELAIS DE CEIGNES CERDON	AUTOROUTE A 40 - SENS PARIS PROV 01430 CEIGNES
1386924298	1430003	1.470		1.610	1.700	0.940	        Agip	        AGIP CEIGNES A40 SENS ANNECY BOURG EN BRESSE	AIRE DE CEIGNES HAUT BUGEY 01430 CEIGNES
1386924216	1430004	1.428	1.608	1.586			        Indépendant sans enseigne	        GARAGE  MURET	2 RUE DE L#039; EGALITE 01430 MAILLAT
1386924294	1440001	1.440	1.600				        Total	        GARAGE BERRODIER	1029 ROUTE DE MARBOZ-LOUHANS 01440 VIRIAT
1386924439	1440002	1.380		1.540	1.620		        Total	        STE DU VEHICULE INDUSTRIEL SAS	Route de Strasbourg 01440 VIRIAT
1386924543	1440003	1.349	1.559				        Avia	        AVIA	261 Route de Paris 01440 VIRIAT
1386924332	1460001	1.319	1.500		1.519		        Carrefour Market	        Carrefour Market	68 Rue du Juras 01460 MONTREAL-LA-CLUSE
1386924375	1460002	1.420	1.590				        Indépendant sans enseigne	        ETS CRAUSAZ	Route de Berthiand 01460 NURIEUX-VOLOGNAT
1386924209	1460003	1.299	1.495	1.475	1.519		        Intermarché	        INTERMARCHE PORT	Rue de l&#039;industrie 01460 PORT
1386924484	1470001	1.400	1.590	1.630	1.620		        Avia	        STATION SERVICE AVIA	LES GRANGES DE MONTAGNIEU 01470 MONTAGNIEU
1386924116	1470002	1.309		1.473	1.536		        Intermarché	        Intermarché Briord	Rue des Verchères 01470 BRIORD
1386924372	1480001	1.291	1.478		1.508		        Carrefour Market	        Carrefour Market	Rue Édouard Herriot 01480 JASSANS-RIOTTIER
1386924154	1500001	1.319	1.509		1.529		        Carrefour Market	        Carrefour Market	Rue Alexandre Bérard 01500 AMBÉRIEU-EN-BUGEY
1386924266	1500003	1.380	1.560				        Total	        RELAIS CHATEAU-GAILLARD	550, Avenue Jean Mermoz 01500 CHÂTEAU-GAILLARD
1386924139	1500004	1.380	1.560		1.600		        Avia	        GARAGE VINCENT SAS	15 Avenue de la Libération 01500 AMBÉRIEU-EN-BUGEY
1386924536	1500006	1.380	1.560				        Avia	        LE RELAIS DE CHATEAU-GAILLARD	550, RUE JEAN MERMOZ 01500 CHÂTEAU-GAILLARD
1386924224	1500007	1.299	1.489	1.479		0.849	        Intermarché	        INTERMARCHE AMBERIEU EN BUGEY	CENTRE COMMERCIAL DE L&#039;AVIATIONRAIS 01500 AMBÉRIEU-EN-BUGEY
1386924516	1510001	1.314	1.504		1.539		        Carrefour Contact	        CARREFOUR CONTACT ARTEMARE	1 RUE DES CHAMPS 01510 ARTEMARE
1386924183	1510002	1.400	1.590		1.620		        Avia	        Garage de La Gare	Chef Lieu 01510 VIRIEU-LE-GRAND
1386924350	1540001	1.299	1.494		1.530		        Carrefour Market	        Carrefour Market	Route de Neuville 01540 VONNAS
1386924454	1540002	1.299	1.494	1.474			        Netto	        Netto	za les grands varays rte de neuville 01540 VONNAS
1386924184	1570001	1.306	1.484				        Intermarché	        Intermarché	Grande Rue 01570 FEILLENS
1386924343	1590001	1.333	1.493		1.555		        Avia	        GARAGE CLAUDE SARL	Rue du 21 Juillet 1944 01590 DORTAN
1386924337	1590002	1.305	1.509	1.455			        Intermarché Contact	        INTERMARCHE	ZAC sous la Combe 01590 LAVANCIA-EPERCY
1386924468	1600001	1.304	1.494		1.545		        Carrefour Market	        Carrefour Market	Rue du Figuier 01700 MIRIBEL
1386924422	1600002	1.276	1.478		1.525		        Carrefour Market	        Carrefour Market	324 Route de Lyon 01600 TREVOUX
1386924379	1600003	1.276	1.478	1.526	1.525		        Simply Market	        SIMPLY MARKET	Avenue Lavoisier 01600 MASSIEUX
1386924352	1630001	1.329	1.519		1.549		        Carrefour Market	        Carrefour Market	RUE DE GENEVE 01630 SAINT-GENIS-POUILLY
1386924124	1630002	1.390	1.580				        Avia	        GARAGE RENAULT - P.YVES HUISSOUD	50 Rue de la Faucille 01630 SAINT-GENIS-POUILLY
1386924166	1630003	1.300		1.450	1.505		        Intermarché	        INTERMARCHE ST GENIS POUILLY	148 Rue des Chalets 01630 SAINT-GENIS-POUILLY
1386924452	1630004	1.300	1.541	1.450	1.505		        Ecomarché	        ECOMARCHE PERON ECOMARCHE	ZA DU PRE MUNNY 01630 PÉRON
1386924300	1640001	1.439	1.599				        Elan	        GARAGE CEYZERIAT	route 01640 SAINT-JEAN-LE-VIEUX
1386924545	1700003	1.296		1.482	1.562		        Esso Express	        ESSO LES ECHETS	RN 83 01700 MIRIBEL
1386924346	1700004	1.296	1.489	1.449	1.539	0.829	        Leclerc	        SAS BEDIS	ZAC des Beterses 01700 BEYNOST
1386924186	1710001	1.300	1.485		1.505		        MIGROS	        MIGROS	route de Bellegarde 01710 THOIRY
1386924193	1750001	1.306	1.484	1.439			        Intermarché	        INTERMARCHE REPLONGES	223 route de Bourg-en-Bresse 01750 REPLONGES
1386924161	1800001	1.296	1.489		1.539		        Carrefour Market	        Carrefour Market	47 Route de Lyon 01800 MEXIMIEUX
1386924401	1800002	1.420	1.600				        Dyneff	        SARL GARAGE ROUSSET	11 route de Port-Galland 01800 SAINT-MAURICE-DE-GOURDANS
1386924363	1800003	1.310	1.519	1.481	1.540		        Intermarché	        INTERMARCHE MEXIMIEUX	ROUTE DE CHALAMONT 01800 MEXIMIEUX
1386924403	1960001	1.302	1.499		1.535		        Carrefour Market	        Carrefour Market	Chemin de Bellevue 01960 PÉRONNAS
1386924232	1960004	1.374		1.529	1.589	0.894	        Agip	        AGIP PERONNAS	148 Avenue de Lyon 01960 PÉRONNAS
1386924255	1980001	1.360	1.558				        Total	        cst distribution	63 Rue du Bugey 01360 LOYETTES
1386924189	2000001	1.327	1.497		1.529		        Carrefour Market	        Carrefour Market Menu	RUE DU DOCTEUR MENU 02000 LAON
1386924143	2000002	1.319	1.486		1.529		        Carrefour	        Carrefour Laon	ZAC ILE DE FRANCE 02000 LAON
1386924247	2000003	1.339	1.519		1.549		        Carrefour Market	        Carrefour Market Christ	16 RUE FERNAND CHRIST 02000 LAON
1386924534	2000005	1.390		1.540	1.620		        Total	        GGE EUROPE AUTO	97 Avenue Charles de Gaulle 02000 LAON
1386924206	2000007	1.329		1.467	1.547		        Esso Express	        ESSO CARNOT LAON	16 Boulevard Pierre Brossolette 02000 LAON
1386924460	2000008	1.319	1.486		1.529	0.872	        Leclerc	        LAONDIS	rue Jean Jaures 02000 CHAMBRY
1386924151	2000009	1.320	1.487	1.457			        Intermarché	        INTERMARCHE LAON	167 Avenue Pierre Mendès France 02000 LAON
1386924265	2100001	1.319	1.489		1.525	0.829	        Auchan	        AUCHAN	Route d&#039;AMIENS 02100 SAINT-QUENTIN
1386924357	2100006	1.326		1.467	1.524		        Total Access	        RELAIS ST QUENTIN CAMILLE GUERIN	Boulevard Camille Guérin 02100 SAINT-QUENTIN
1386924457	2100008	1.329		1.467	1.517		        Esso Express	        ESSO FAIDHERBE	46 Avenue Faidherbe 02100 SAINT-QUENTIN
1386924498	2100009	1.309		1.439	1.514	0.820	        Leclerc	        CONTOYDIS	Route de Guise 02100 HARLY
1386924548	2100011	1.329		1.467	1.538		        Total Access	        POREZ AUTO LOCA STATION	98 rue Alexandre Dumas 02100 SAINT-QUENTIN
1386924386	2100012	1.305	1.459	1.424	1.508	0.818	        CORA	        CORA	Route de BOHAIN 02100 SAINT-QUENTIN
1386924134	2100013	1.331	1.502	1.480		0.859	        Intermarché	        INTERMARCHE SAINT-QUENTIN   /ZAC	Rue Antoine Parmentier 02100 SAINT-QUENTIN
1386924131	2100017	1.321	1.518		1.515		        Netto	        SARL MAROLEG	Rue de la Fère 02100 SAINT-QUENTIN
1386924329	2100018	1.382	1.575				        Indépendant sans enseigne	        DM Combustibles	25 Boulevard Victor Hugo 02100 SAINT-QUENTIN
1386924445	2100019	1.329	1.519		1.539		        Intermarché	        INTERMARCHE 153 Rue de Mulhouse	153 Rue de Mulhouse 02100 SAINT-QUENTIN
1386924522	2110001	1.410			1.630		        Total	        BILBAUT	Rue Olivier Deguise 02110 BOHAIN-EN-VERMANDOIS
